name,price
"Apple AirPods (2nd Generation) Wireless Ear Buds, Bluetooth Headphones with Lightning Charging Case Included, Over 24 Hours of Battery Life, Effortless Setup for iPhone",$73.59
Amazon Echo Pop | Compact smart speaker with Alexa | premium Alexa features available for purchase | Charcoal,$19.99
"All-new Amazon Fire TV Stick 4K streaming device, more than 1.5 million movies and TV episodes, supports Wi-Fi 6, watch free & live TV",$29.99
Apple AirTag 4 Pack,$72.68
"Echo Dot (5th Gen, 2022 release) | With bigger vibrant sound, helpful routines and Alexa | Charcoal",$20.99
"Amazon Fire TV Stick, HD, sharp picture quality, fast streaming, free & live TV, Alexa Voice Remote with TV controls",$17.24
"CELSIUS Assorted Flavors Official Variety Pack, Functional Essential Energy Drinks, 12 Fl Oz (Pack of 12)",$17.24
"Nespresso Capsules VertuoLine, Medium and Dark Roast Coffee, Variety Pack, Stormio, Odacio, Melozio, 30 Count, Brews 7.77 Fl Oz (Pack of 3 )",$13.99
"Sparkling Ice, Black Raspberry Sparkling Water, Zero Sugar Flavored Water, with Vitamins and Antioxidants, Low Calorie Beverage, 17 fl oz Bottles (Pack of 12)",$13.99
"Nespresso Capsules VertuoLine, Double Espresso Chiaro, Medium Roast Coffee, 10 Count (Pack of 3) Coffee Pods, Brews 2.7 Ounce (VERTUOLINE ONLY)",$25.23
"Monster Energy Zero Ultra, Sugar Free Energy Drink, 16 Fl oz (Pack of 15)",$25.23
"POPPI Sparkling Prebiotic Soda, Beverages w/Apple Cider Vinegar, Seltzer Water & Fruit Juice, Fun Favorites Variety Pack, 12oz (12 Pack) (Packaging May Vary)",$29.95
Crocs Unisex-Adult Classic Clogs,$9.59
Nippies Nipple Cover - Sticky Adhesive Silicone Nipple Pasties - Reusable Pasty Nipple Covers for Women with Travel Box,$9.59
"Gildan Men's Crew T-Shirts, Multipack, Style G1100",$9.59
Fruit of the Loom Men's Eversoft Cotton Stay Tucked Crew T-Shirt,$9.59
Carhatt Mens Loose Fit Heavyweight ShortSleeve Pocket TShirt,$9.59
Women's Floral Print Puff Sleeve Kimono Cardigan Loose Cover Up Casual Blouse Tops,$9.59
"Stanley Quencher H2.0 FlowState Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water, Iced Tea or Coffee",$9.59
"Owala FreeSip Insulated Stainless Steel Water Bottle with Straw for Sports and Travel, BPA-Free, 24oz, Dreamy Field",$9.59
Simple Modern 40 oz Tumbler with Handle and Straw Lid | Insulated Cup Reusable Stainless Steel Water Bottle Travel Mug | Mothers Day Gifts for Mom Women Her | Trek Collection | Lavender Mist,$9.59
"STANLEY IceFlow Stainless Steel Tumbler with Straw, Vacuum Insulated Water Bottle for Home, Office or Car, Reusable Cup with Straw Leak Resistant Flip",$9.59
"Alpha Grillers Instant Read Meat Thermometer for Grill and Cooking. Best Waterproof Ultra Fast Thermometer with Backlight & Calibration. Digital Food Probe for Kitchen, Outdoor Grilling and BBQ!",$9.59
"Etekcity Food Scale, Digital Kitchen Scale, 304 Stainless Steel, Weight in Grams and Ounces for Baking, Cooking, and Meal Prep, LCD Display, Medium",$9.59
RUBFAC 129pcs Metallic Gold Balloons Latex Balloons Different Sizes 18 12 10 5 Inch Party Balloon Kit for Birthday Party Graduation Wedding Holiday Balloon Decoration,$9.59
"LEGO Cherry Blossoms Celebration Gift, Buildable Floral Display for Creative Kids, White and Pink Cherry Blossom, Spring Flower Gift for Girls and Boys Aged 8 and Up, 40725",$9.59
STAR WARS The Black Series Emperor Palpatine & Throne Return of The Jedi Collectible 6 Inch Action Figure (Amazon Exclusive),$13.21
"Play-Doh Modeling Compound 10-Pack Case of Colors, Non-Toxic, Assorted, 2 oz. Cans, Multicolor, Ages 2 and Up (Amazon Exclusive)",$13.21
"Step2 Rain Showers Splash Pond Toddler Water Table, Outdoor Kids Water Sensory Table, Ages 1.5+ Years Old, 13 Piece Water Toy Accessories, Blue & Green",$13.21
2 Pack Foil Curtain Backdrop Silver Metallic Tinsel Foil Fringe Curtains Photo Booth Props for Birthday Wedding Engagement Baby Shower Bachelorette Christmas Holiday Celebration Party Decorations,$13.21
"Ailun 3 Pack Screen Protector for iPhone 15 Pro Max [6.7 inch] + 3 Pack Camera Lens Protector with Installation Frame,Sensor Protection,Dynamic Island Compatible,Case Friendly Tempered Glass Film",$13.21
"NEW'C [3 Pack Designed for iPhone 14, 13, 13 Pro (6.1"") Screen Protector Tempered Glass, Case Friendly Anti Scratch Bubble Free Ultra Resistant",$13.21
"Ailun 3Pack Privacy Screen Protector for iPhone 15 Pro Max [6.7 inch]+3Pack Camera Lens Protector,Sensor Protection,Dynamic Island Compatible,Anti Spy Tempered Glass[9H Hardness]-HD[Black][6 Pack]",$13.21
"Misxi 2 Pack Hard PC Case with Tempered Glass Screen Protector Compatible with Apple Watch Series 6 SE Series 5 Series 4 44mm, Black",$13.21
"INIU Portable Charger, Slimmest 10000mAh 5V/3A Power Bank, USB C in&Out High-Speed Charging Battery Pack, External Phone Powerbank Compatible with iPhone 15 14 13 12 X Samsung S22 S21 Google iPad etc",$13.21
"Ailun Glass Screen Protector for iPhone 14 / iPhone 13 / iPhone 13 Pro [6.1 Inch] Display 3 Pack Tempered Glass, Case Friendly",N/A
